patrãu	patrãu
patuá	patuá
paulo	paulo
paulu	paulu
pausawa	pausawa
pausá	pausá
pawa	pawa
pawasá	pawasá
pawé	pawé
paya	paya
paya-etá	paya
paya-itá	paya
payangawa	payangawa
payaíma	paya
payé	payé
payé-itá	payé
paá	paá
paí	paí
pe	upé
pedasu-itá	pedasu
pedaço	pedaço
pedero	pedero
pedro	pedro
peikú	ikú
pejemeri	jemeri
pekadori	pekadori
pekadu	pekadu
pekanhemu	kanhemu
pekuntari	kuntari
pekwasawa	kwá
pekwawa	kwawa
pekũi	sú
pem	pem
pemanduarisawa	manduári
pemanduári	manduári
pemaramunhã	maramunhã
pemaã	maã
pemaú	maú
pembaú	mbaú
pembeú	mbeú
pemburi	mburi
pemendari	mendari
pemixiri	mixiri
pempisasúa	mpisasú
pemprezu	mprezu
pemuatiri	muatiri
pemuirawa	muirawa
pemukanhemu	mukanhemu
pemukirimbawa	mukirimbawa
pemumbawa	mumbawa
pemungí	mungí
pemunhã	munhã
pemusaka	musaka
pemusantá	musantá
pemusatambika	musatambika
pemuturusú	muturusú
pemuyukwawa	muyukwawa
penasawa	penasawa
penheengari	nheengari
penhẽ	penhẽ
pepirari	pirari
pepisika	pisika
pepituú	pituú
pepitá	pitá
pepuderi	puderi
pepurakari	purakari
pepurakí	purakí
pepurandú	purandú
pepuri	puri
pepurungitá	purungitá
pepú	pepú
perasú	rasú
perewa	perewa
perikú	rikú
peruári	ruári
pesarú	sarú
pesendú	sendú
pesikari	sikari
pesikí	sikí
pessoa	pessoa
pesuantí	suantí
pesú	sú
petewawa	petewawa
petirika	tirika
petuna	petuna
peumbeú	umbeú
pewa	pewa
pewapika	wapika
pewasemu	wasemu
pewasú	pe
pewatá	watá
pexari	xari
peyapukúi	yapukúi
peyawáu	yawáu
peyaxiú	yaxiú
peyeréu	yeréu
peyuka	yuka
peyuká	yuká
peyumasí	yumasí
peyumunhã	yumunhã
peyumusasiara	yumusasiara
peyumú	yumú
peyupika	yupika
peyupúi	yupúi
peyuri	yuri
peyutika	yutika
peyuuka	yuuka
peyuíri	yuíri
peyú	peyú
peé	peé
peú	ú
